#,0,电子日历,有两个不同颜色的日历，时间完全一致，但标注不同,-1
#,1,合照,双人的合照，看起来像是母女,-1
#,2,绘画稿1,末世主题的创作稿，还没有完成,3
#,3,绘画稿1,一群人在丧尸中突围，有一只巨大的三花猫在旁边,-1
#,4,绘画稿2,末世主题的插画,5
#,5,绘画稿2,火车站站台上，一个丧尸在攻击人群,-1
#,6,叶梓,Zzzzzzz.......,-1
#,7,衣柜上的纸条,记得收拾衣柜         ——你娘,-1
#,8,报纸,禾本药物集团新任董事于今年三月就职,9
#,9,报纸,禾本药物集团创立于2030年，其宗旨是为人们提供更安全、更见效、更低价的药物。,-1
#,10,窗外,城市被白色的雾气笼罩,-1
#,11,窗边的植物,白色纹路的绿植，仔细看下来茎叶是一种特殊的仿生材质,-1
&,12,同学,你听说最近那个xx公司发布会公开的那个基因药剂了吗,13
&,13,同学,我妈妈也参与那个药剂的制作了！,14
&,14,叶梓,我也看到网上的新闻了,15
&,15,叶梓,要是消息是真的，以后可就不用在身上装那些奇奇怪怪的仿生机械了。,16
&,16,同学,哈哈哈，看不出来你竟然还有仿生派的倾向,17
&,17,同学,我每次一想到改装到最后可能变成一个赛博白痴就浑身难受。,18
&,18,同学,不过我每次问我妈关于药剂的事她总是避开这个话题,19
&,19,同学,虽然我知道可能涉及内部机密，但在自己家里说说也没什么吧。,20
&,20,同学,她最近总是心事重重的。,-1
&,21,同学,找到了！你看是不是挺帅的！,22
&,22,同学,这人和我是中学同学，因为长得帅我印象还挺深的，,23
&,23,同学,你当时跟我一说什么剑眉我脑子里一下子就是他这张帅脸！,24
&,24,叶梓,啊！真的跟我梦里那个巨像！太离谱了吧,25
&,25,叶梓,我梦见咱们和他组队打变异怪兽，结果我被打死了变成魂跟着你们飞,26
&,26,叶梓,最后一群变异怪围上来大家都挂了然后我就醒了。,27
&,27,同学,好玄学啊,28
&,28,同学,不过没准很久之间你碰见过他结果因为他太帅了印象深刻所以反应在梦里了呢。,29
&,29,叶梓,。。。你这想象力也够离谱的。,-1
&,30,同学,我妈在里面，估计在忙着呢，她这几天都忙得很,31
&,31,同学,没啥理由就去烦她的话会遭到她的黑脸攻击的,-1
&,32,妈妈,可是，以药剂现在的稳定性服用之后有副作用的可能性非常大——,33
&,33,对面,公司为了这次药剂的发售动用了多少资源，我和老板拍着胸脯保证没有问题，和其它家合同都签好了就等这次发售！,34
&,34,对面,发售日期是不可能延后的，我不管你用什么方法，在6月3号之前给我解决这件事情！！（挂断）,-1
#,35,检测报告,基因药剂有很强的副作用，经反复实验测试，其副作用主要包括：,36
#,36,检测报告,失去与人类共情能力、身体外形特征会逐渐向药剂中所含有的dna所属的生物特征靠拢、情绪逐渐暴躁易怒、排斥人类靠近。。,-1
&,37,叶梓,阿姨我看您工牌落在客厅了笑笑让我帮忙那给您一下，怕您去了公司忘记拿,38
&,38,妈妈,谢谢叶梓啊，放桌上就行。,39
&,39,妈妈,抱歉阿姨今天这边事儿有点多可能没法好好招待你了，你先去客厅和笑笑玩一会吧,-1
#,40,书架,书架上装着奇怪溶液的试管和解剖卷宗，还是不要碰的好,-1
&,41,叶梓,呀都五点了，我要先撤啦？,42
&,42,同学,okok，明天下午咱们没课你再过来玩呗，我给你展示一下我的甜点手艺！,43
&,43,叶梓,行啊，你敢做我就敢吃,-1
&,44,妈妈,笑笑我去单位一趟，你跟同学在家好好玩，啊。,45
&,45,同学,好——,46
&,46,叶梓,阿姨再见！,-1
#,47,餐桌后面的海报,基因派宣言：基因是良药，是救赎我们、让人类迈入新人类时代的唯一途径,-1
#,48,客厅沙发后面挂的照片,笑笑和她妈妈的照片，还有上次阿姨在药品发布会上的发言的报纸,-1
#,49,工牌拾取时的文本解释,禾本集团,50
#,50,工牌拾取时的文本解释,"姓名：廖静
职务：药物测试研究员",-1
