#,0,钥匙,钥匙链子上面有一个员工卡扣，上面写着：,1
#,1,钥匙,姓名：栗瑧,2
&,2,钥匙,职位：基因项目主管,3
&,3,钥匙,生物学教授,-1
&,4,玻璃仓,活体小白鼠,-1
&,5,小白鼠变异,小白鼠身上逐渐长出腕足，开始变得狂暴，攻击玻璃仓，最后开始在玻璃仓里疯狂冲撞，血肉模糊直至死亡。,-1
&,6,药剂配置说明图片,药剂配置的示意图纸,-1
&,7,完整的纸片,禾本药物集团,8
&,8,完整的纸片,联系电话：1836795551430,-1
#,9,生物组织,人体组织样本，贴合得很紧密，需要用刀具才能切下来,-1
#,10,解剖用具,锋利的解剖用具,-1
&,11,变色龙,变色龙,-1
&,12,野山鸡,野山鸡,-1
&,13,树懒,树懒,-1
&,14,兔子,兔子,-1
&,15,福尔马林罐,被浸泡的男人，实验失败产物，有着熟悉的长相,-1
&,16,醉汉,（挠头）,-1
&,17,门卡,一张门卡,-1
&,18,验证界面,有被暴力破坏的痕迹,-1
&,19,基因药剂,基因药剂，药剂瓶是不易被破坏的材质。但放药剂瓶的地方有几处空缺，好像少了几瓶药剂。,-1
#,20,栗瑧,之前提取的志愿者DNA样本在这边吧,21
#,21,助理,在的，我现在就找给您,-1
#,22,助理,对了教授，刚才有一个药物公司的经理来这边说想要投资咱们的项目，您看。。。,23
#,23,栗瑧,让对外的那帮人去谈吧，资金够咱们的项目也好推进。,24
#,24,助理,好的我这就去跟他们说。,-1
#,25,栗瑧,情况怎么样了,26
#,26,助理,情况不太好，所有实验体都或多或少出现了副作用，并且这种副作用还在加重。,-1
