#,0,合照,一女一男和一个小女孩的合照,-1
#,1,余额信息界面,余额：0，信用卡欠款350000,-1
&,2,项目经理人,这可是个大项目，她们基因派想的是什么我不清楚，不过咱就算是悠着点说，那这也是关乎咱们人类未来命运的东西，这以后都用上这个基因药剂，那都得是新人类了,5
&,3,项目经理人,你不用担心，这个项目目前已经基本完成了，我跟你透个底，这事你别跟别人说，有小道消息听说药剂已经做出来了，就等最后的检测 结果出来就可以开始量产了！你这个时候投资这个项目其实都已经有点晚了，不过好在还没有开始正式发售。,6
&,4,叶庆华,我跟你这么多年的交情了，我信得过兄弟你。那这样，我明天去找你签合同，咱把这事就这么定了。,7
&,5,项目经理人,我就是佩服兄弟你这一点，有眼界，知道怎么把握机会，那这事就这么定了。,8
&,6,叶庆华,怎么回事，我听说那个基因药剂的项目被叫停了？不是说都已经出成果了吗，为什么会被叫停？！,9
&,7,叶庆华,你现在在哪？我打你电话怎么是空号？？,10
&,8, ,（系统提示：您已被对方删除）,-1
#,9,娃娃,看起来是人手工制作的，是可以划开的材质,-1
#,10,电子表,复古的款式，侧边有些松动,-1
&,11,路人1,你听见了吗，刚才的爆炸声！,12
&,12,路人2,那么响估计方圆一公里都听见了，听说是大桥爆炸了，太吓人了,-1
&,13,醉汉,......？什么声音,-1
&,14,醉汉,......？,15
&,15,醉汉,一个娃娃？,16
&,16,醉汉,（挠头）,-1
